category_code,vi_caption,en_caption,map_24h_caption,report_type
CF_001,Lợi nhuận trước thuế TNDN,Profit before corporate income tax,Lãi trước thuế (Gián tiếp),cash_flow_statement
CF_003,Khấu hao tài sản cố định,Depreciation of fixed assets,Khấu hao TSCĐ (Gián tiếp),cash_flow_statement
CF_004,Các khoản dự phòng,Provisions,Chi phí dự phòng (Gián tiếp),cash_flow_statement
CF_007,Lãi/lỗ hoạt động đầu tư,Profit/loss from investment activities,Lãi/lỗ từ hoạt động đầu tư (Gián tiếp),cash_flow_statement
CF_006,Chi phí lãi vay,Interest expenses,Chi phí lãi vay (Gián tiếp),cash_flow_statement
CF_008,Dự thu tiền lãi,Accrued interest income,Thu lãi và cổ tức (Gián tiếp),cash_flow_statement
CF_030,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Profit from operating activities before changes in working capital,Lãi/lỗ trước những thay đổi vốn lưu động (Gián tiếp),cash_flow_statement
CF_039,Tăng/giảm các khoản phải thu khác,Increase/decrease in other receivables,Tăng/giảm các khoản phải thu (Gián tiếp),cash_flow_statement
CF_050,Tăng/giảm các khoản phải trả khác,Increase/decrease in other payables,Tăng/giảm các khoản phải trả (Gián tiếp),cash_flow_statement
CF_042,Tăng/giảm chi phí trả trước,Increase/decrease in prepaid expenses,Tăng/giảm chi phí trả trước (Gián tiếp),cash_flow_statement
CF_044,Lãi vay phải trả,Interest payable,Chi phí lãi vay đã trả (Gián tiếp),cash_flow_statement
CF_043,Thuế TNDN đã trả,Corporate income tax paid,Thuế thu nhập doanh nghiệp đã trả (Gián tiếp),cash_flow_statement
CF_060,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flow from operating activities,LƯU CHUYỂN TIỀN TỆ RÒNG TỪ CÁC HOẠT ĐỘNG SẢN XUẤT KINH DOANH,cash_flow_statement
CF_061,Tiền mua tài sản cố định và các tài sản dài hạn khác,Cash paid for the purchase of fixed assets and other long-term assets,Tiền mua tài sản cố định và các tài sản dài hạn khác,cash_flow_statement
CF_062,Tiền thu được từ thanh lý tài sản cố định,Proceeds from the liquidation of fixed assets,Tiền thu được từ thanh lý tài sản cố định,cash_flow_statement
CF_070,Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flow from investing activities,LƯU CHUYỂN TIỀN TỆ RÒNG TỪ HOẠT ĐỘNG ĐẦU TƯ,cash_flow_statement
CF_073,Tiền vay gốc,Loan principal received,Tiền thu được các khoản đi vay,cash_flow_statement
CF_074,Tiền chi trả nợ gốc vay,Loan principal repayment,Tiển trả các khoản đi vay,cash_flow_statement
CF_080,Lưu chuyển tiền tệ từ hoạt động tài chính,Cash flow from financing activities,LƯU CHUYỂN TIỀN TỆ RÒNG TỪ HOẠT ĐỘNG TÀI CHÍNH,cash_flow_statement
CF_090,LƯU CHUYỂN TIỀN THUẦN TRONG KỲ,Net cash flow for the period,LƯU CHUYỂN TIỀN THUẦN TRONG KỲ,cash_flow_statement
CF_101,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN ĐẦU KỲ,Cash and cash equivalents at the beginning of the period,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN ĐẦU KỲ,cash_flow_statement
CF_103,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI KỲ,Cash and cash equivalents at the end of the period,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI KỲ,cash_flow_statement
